name,ingredients,cuisine,time
Rad Na,noodle beef broth gravy egg broccoli,Thai,25
Boscaiola,pasta sausage mushroom cream onion,Italian,30
Laal Maas,lamb chili onion garlic yogurt,Indian,60
Century Egg Tofu,tofu egg scallion soy sesame,Chinese,10
Mole Negro,turkey chocolate chili banana spice,Mexican,120
Krapao Moo,pork basil chili garlic egg soy,Thai,15
Ragù alla Napoletana,beef tomato onion celery carrot wine,Italian,90
Pesarattu,moong-dal rice onion ginger chili,Indian,20
Steamed Egg,egg broth soy scallion sesame,Chinese,20
Tamale de Frijoles,bean corn-dough chili onion,Mexican,60
Yam Talay,seafood lime chili lemongrass onion,Thai,20
Pasta al Pistacchio,pasta pistachio cream garlic lemon,Italian,20
Murgh Musallam,chicken onion tomato egg yogurt spice,Indian,60
Suan Cai Yu,fish sauerkraut chili garlic ginger,Chinese,30
Tlayudas,tortilla bean cheese meat asiento,Mexican,30
Som Tum Pu,crab papaya tomato lime peanut chili,Thai,15
Acquacotta,bread egg tomato celery onion,Italian,35
Haleem,wheat lamb onion ginger garlic spice,Indian,90
Braised Peanuts,peanut soy five-spice garlic star-anise,Chinese,50
Michelada,beer lime tomato hot-sauce salt,Mexican,10
Khanom Pang Na Goong,bread shrimp coriander garlic egg,Thai,25
Grilled Polenta,polenta parmesan mushroom butter thyme,Italian,35
Chhole Bhature,chickpea flour onion tomato garlic spice,Indian,50
Wonton Noodle Soup,pork shrimp noodle broth bok-choy,Chinese,30
Ceviche,fish lime onion cilantro tomato chili,Mexican,20
Khao Niao Mamuang,rice mango coconut sugar sesame,Thai,25
Farro Soup,farro bean vegetable onion rosemary,Italian,45
Pesaran,lentil rice onion carrot cumin,Indian,30
Bitter Melon Stir Fry,bitter-melon pork egg soy garlic black-bean,Chinese,20
Elote,corn lime cheese chili butter mayo,Mexican,15
Kaeng Kari,chicken potato coconut carrot curry-paste,Thai,35
Orecchiette Broccoli Rabe,pasta broccoli-rabe garlic chili anchovy,Italian,25
Nihari,beef onion ginger garlic flour spice,Indian,90
Winter Melon Soup,winter-melon pork ginger scallion salt,Chinese,35
Sopa de Tortilla,tortilla tomato onion garlic cream cheese,Mexican,25
Pla Kapong Neung,fish lime garlic chili broth,Thai,25
Pasta ai Funghi,pasta mushroom cream garlic parsley,Italian,25
Shahi Tukda,bread cream milk saffron sugar cardamom,Indian,30
Chinese Broccoli Oyster,broccoli oyster soy garlic ginger,Chinese,15
Tamale de Elote,corn sugar butter egg cream,Mexican,45
Pad Med Mamuang,chicken cashew pepper onion soy garlic,Thai,20
Saltimbocca Romano,chicken ham sage butter white-wine,Italian,25
Khandvi,chickpea-flour yogurt mustard sesame curry,Indian,30
Jellyfish Salad,jellyfish cucumber sesame soy vinegar,Chinese,20
Guajillo Chicken,chicken guajillo onion garlic orange,Mexican,40
Nam Prik Ong,tomato pork chili shrimp-paste garlic,Thai,25
Ribollita al Pesto,bean kale bread carrot basil pine-nut,Italian,55
Murmura,puffed-rice onion tomato chili coriander,Indian,10
Glutinous Rice Chicken,rice chicken mushroom soy scallion,Chinese,60
Caldo Tlalpeño,chicken chickpea chipotle epazote carrot,Mexican,45
Pad Pak,vegetable oyster soy garlic chili,Thai,10
Minestrone,pasta bean tomato carrot zucchini basil,Italian,40
Kadala Curry,chickpea coconut onion tomato mustard,Indian,40
Fish Ball Noodle,fish-ball noodle bok-choy broth soy,Chinese,20
Chiles en Nogada,pepper beef walnut cream pomegranate,Mexican,60
Koi Soi,beef blood chili broth noodle scallion,Thai,35
Pasta alla Norma,pasta eggplant tomato ricotta basil,Italian,30
Nawabi Korma,chicken almond cream onion saffron,Indian,50
Pork Chop Rice,rice pork soy garlic egg,Chinese,25
Sopa de Albondigas,meatball carrot tomato onion cilantro,Mexican,40
Khanom Chin Nam Prik,noodle pork chili coconut lemongrass,Thai,30
Coniglio all'Ischitana,rabbit tomato wine onion rosemary,Italian,60
Poha,flattened-rice onion mustard turmeric peanut,Indian,15
Steamed Pork Ribs,rib black-bean garlic chili soy,Chinese,35
Frijoles Charros,bean pork bacon onion chili tomato,Mexican,50
Miang Kham,spinach coconut peanut shrimp onion lime,Thai,20
Scaloppine al Marsala,veal marsala mushroom butter flour,Italian,25
Bhuni Khichdi,rice lentil onion cumin ghee tomato,Indian,30
Pork Belly Bun,pork bun soy hoisin cucumber scallion,Chinese,40
Pozole Rojo,pork hominy chili garlic onion cumin,Mexican,90
Gaeng Keow Wan Nuea,beef eggplant coconut basil lime,Thai,35
Pasta con le Sarde,pasta sardine raisin pine-nut fennel,Italian,30
Uttapam Masala,rice-batter cheese onion pepper tomato,Indian,20
Taro Cake,taro rice-flour mushroom sausage scallion,Chinese,40
Tamale Verde,pork tomatillo chili cilantro corn-dough,Mexican,75
Tom Som Pla,fish tamarind lemongrass galangal lime,Thai,25
Pasta al Tartufo,pasta truffle cream butter parmesan,Italian,20
Sev Puri,puffed-rice chutney potato onion yogurt,Indian,15
Har Gow Cheung Fun,shrimp rice-roll soy hoisin sesame,Chinese,30
Mole Amarillo,chicken pepper tomato tomatillo corn,Mexican,60
Gaeng Pa,pork bamboo-shoot kaffir chili eggplant,Thai,30
Pappardelle Cinghiale,pasta boar tomato wine rosemary,Italian,70
Egg Bhurji,egg onion tomato chili coriander,Indian,15
Smoked Tea Duck,duck tea smoke scallion ginger soy,Chinese,90
Sopa de Flor,zucchini-flower chicken cream cheese,Mexican,30
Yam Ma Kheua Yao,eggplant shrimp lime chili fish-sauce,Thai,20
Linguine alle Vongole,pasta clam garlic wine parsley,Italian,20
Jeera Rice,rice cumin bay ghee onion,Indian,20
Beggar's Chicken,chicken mushroom bamboo lotus-leaf soy,Chinese,90
Chilpachole,crab tomato chipotle epazote onion,Mexican,40
Khao Mok Gai,rice chicken curry turmeric onion,Thai,40
Fettuccine al Ragù,pasta beef tomato carrot onion wine,Italian,55
Crab Curry,crab coconut tomato onion garlic,Indian,40
Chrysanthemum Soup,chrysanthemum pork tofu ginger scallion,Chinese,20
Capirotada Seca,bread sugar cinnamon raisin cheese,Mexican,40
Gaeng Nor Mai,bamboo-shoot pork coconut chili kaffir,Thai,30
Pesto alla Genovese,basil pine-nut parmesan garlic olive-oil,Italian,10
Pulao,rice pea carrot onion spice ghee,Indian,30
Black Bean Soup,black-bean pork garlic soy five-spice,Chinese,45
Chiles Toreados,pepper onion soy lime salt,Mexican,15
Hor Mok Talay,seafood coconut egg red-curry lemongrass,Thai,35
Scaloppine al Limone,veal lemon butter caper parsley,Italian,20
Kachori,flour lentil pepper cumin oil,Indian,30
Turnip Shortrib Braise,shortrib turnip soy star-anise ginger,Chinese,60
Sopa de Res,beef carrot onion tomato potato cilantro,Mexican,60
Khao Yam,rice herb coconut shrimp-paste lime,Thai,20
Pasta alla Boscaiola,pasta mushroom sausage cream onion,Italian,30
Hyderabadi Biryani,rice lamb saffron onion yogurt spice,Indian,75
Lotus Root Stir Fry,lotus-root pork soy garlic ginger,Chinese,20
Tamale de Rajas con Queso,pepper cheese corn-dough cream onion,Mexican,70
Gang Kari Gai,chicken coconut potato curry onion carrot,Thai,35
Risotto al Nero,rice squid-ink shrimp onion wine butter,Italian,40
Shakshuka,egg tomato pepper onion garlic cumin,Indian,25
Nian Gao,glutinous-rice sugar sesame oil egg,Chinese,40
Albondigas Soup,meatball tomato carrot potato zucchini,Mexican,40
Tom Klong Pla,fish tamarind onion lemongrass chili,Thai,25
Grigliata Mista,chicken sausage pepper onion mushroom oil,Italian,35
Fish Curry Coconut,fish coconut tomato onion mustard,Indian,30
Suancai Fish,fish sauerkraut chili garlic ginger tofu,Chinese,30
Puerco en Adobo,pork chili vinegar onion garlic oregano,Mexican,50
Yam Khai Dao,egg tomato shallot chili lime fish-sauce,Thai,15
Gnudi,ricotta spinach egg parmesan butter,Italian,30
Banana Leaf Fish,fish coconut banana-leaf turmeric chili,Indian,35
Dongpo Pork,pork soy wine sugar scallion ginger,Chinese,90
Enchiladas Suizas,tortilla chicken cream tomatillo cheese,Mexican,35
Yam Hua Plee,banana-blossom shrimp coconut lime chili,Thai,25
Paccheri al Sugo,pasta beef tomato wine basil garlic,Italian,45
Dal Makhani,lentil butter cream tomato garlic ginger,Indian,60
Pork Blood Tofu,pork blood tofu scallion soy chili,Chinese,20
Tortas Ahogadas,pork roll tomato chili onion,Mexican,30
Kaeng Tai Pla,fish-entrails bamboo potato bean eggplant,Thai,40
Carbonara di Zucca,pasta pumpkin guanciale cream egg,Italian,30
Gobi Manchurian,cauliflower egg cornflour soy garlic ginger,Indian,30
Snake Bean Salad,snake-bean shrimp coconut lime peanut chili,Chinese,15
Camarones en Chipotle,shrimp chipotle cream onion garlic,Mexican,20
Khanom Jeen Sao Nam,noodle pineapple coconut shrimp ginger,Thai,30
Tagliatelle al Ragù,pasta beef pork tomato wine carrot,Italian,60
Pesarattu Upma,moong-dal semolina onion ginger cashew,Indian,25
Tofu Braised Pork,pork tofu soy dark-soy sugar garlic,Chinese,40
Camarones a la Diabla,shrimp guajillo chipotle garlic tomato,Mexican,25
Pad Pak Bung,morning-glory garlic chili oyster soy,Thai,10
Tagliolini al Tartufo,pasta truffle butter parmesan,Italian,20
Sindhi Sai Bhaji,spinach chickpea tomato onion potato,Indian,40
Sautéed Pea Shoots,pea-shoot garlic oil soy salt,Chinese,10
Sopa de Papas,potato onion tomato cream cilantro,Mexican,25
Pla Muek Yang,squid lime chili garlic fish-sauce,Thai,20
Pasta con Piselli,pasta pea pancetta onion parmesan,Italian,25
Kozhikodan Biryani,rice chicken coconut onion spice,Indian,60
Steamed Egg Custard,egg broth soy sesame scallion,Chinese,25
Chiles en Vinagre,pepper vinegar garlic onion carrot oregano,Mexican,30
Gai Yang,chicken lemongrass garlic coriander soy,Thai,30
Cozze al Pomodoro,mussel tomato garlic wine parsley,Italian,25
Paneer Bhurji,paneer onion tomato pepper cumin,Indian,20
Hakka Noodles,noodle cabbage carrot soy garlic vinegar,Chinese,20
Mixiote,lamb maguey-leaf guajillo onion garlic,Mexican,90
Moo Yang,pork soy garlic oyster honey lemongrass,Thai,30
Tripe alla Romana,tripe tomato mint garlic pecorino,Italian,60
Kadai Paneer,paneer pepper tomato onion garlic cream,Indian,30
Dan Bao Fan,rice egg tomato soy garlic scallion,Chinese,20
Barbacoa,beef lime onion chili garlic cumin,Mexican,90
Chicken Pad Woon Sen,noodle chicken mushroom egg soy,Thai,20
Cinghiale in Umido,boar onion carrot celery wine tomato,Italian,80
Muttai Kulambu,egg tomato onion coconut garlic,Indian,25
Salted Fish Fried Rice,rice salted-fish egg soy scallion,Chinese,15
Chuletas de Puerco,pork onion garlic lime cumin oregano,Mexican,30
Pla Tod Rad Prik,fish chili garlic soy lime,Thai,25
Pasta ai Carciofi,pasta artichoke garlic lemon olive-oil,Italian,30
Chicken Chettinad,chicken onion tomato coconut spice,Indian,45
Salt and Pepper Squid,squid salt pepper garlic chili scallion,Chinese,20
Chicharrones en Salsa,pork-skin tomato chili garlic onion,Mexican,20
Yam Phak Boong Fai Daeng,morning-glory egg oyster garlic chili,Thai,15
Trofie al Pesto,pasta basil pine-nut parmesan potato,Italian,20
Amritsari Kulcha,wheat onion tomato potato butter,Indian,30
Shrimp Dumpling,shrimp wrapper bamboo-shoot sesame ginger,Chinese,35
Sopa Tarasca,bean tomato chili cream cheese tortilla,Mexican,30
Khao Tom Goong,rice shrimp ginger garlic fish-sauce,Thai,25
Pasta Capricciosa,pasta olive mushroom ham artichoke,Italian,25
Keema Matar,beef pea onion tomato garlic ginger,Indian,35
Eggplant Garlic Sauce,eggplant garlic soy vinegar scallion,Chinese,20
Tamale de Chipilín,chip-herb corn-dough cheese cream,Mexican,60
Gaeng Liang,vegetable shrimp peppercorn basil,Thai,25
Farro e Fagioli,farro bean onion rosemary garlic tomato,Italian,50
Chicken 65,chicken egg chili garlic ginger curry,Indian,30
Maofan,pork rice egg scallion soy,Chinese,15
Camarones al Ajillo,shrimp garlic butter wine lime,Mexican,20
Gai Pad Khing,chicken ginger mushroom soy scallion,Thai,15
Bigoli al Torchio,pasta sardine onion oil wine,Italian,30
Dahi Puri,puri yogurt potato chutney chili,Indian,15
Ants Climbing Tree,noodle pork bean-paste soy ginger scallion,Chinese,20
Pollo en Pepian,chicken pepita chili tomatillo onion,Mexican,45
Pla Kapong Pad Cha,fish chili basil kaffir lime galangal,Thai,20
Rigatoni all'Amatriciana,pasta guanciale tomato onion cheese,Italian,30
Masoor Dal,lentil onion tomato garlic cumin,Indian,30
Soup Dumplings,pork wrapper gelatin scallion ginger soy,Chinese,40
Huauzontles,herb egg cheese tomato chili oil,Mexican,35
Yam Kua Chai,chive egg shrimp soy lime chili,Thai,15
Gnocchi alla Sorrentina,gnocchi tomato mozzarella basil,Italian,30
Paya Soup,trotter onion garlic ginger spice,Indian,90
Glutinous Rice Stuffed Lotus,lotus-root glutinous-rice brown-sugar,Chinese,50
Enchiladas Mole,tortilla chicken mole cheese cream,Mexican,40
Khao Pad Krapao,rice egg pork basil garlic chili,Thai,15
Insalata di Mare,seafood lemon garlic parsley olive-oil,Italian,25
Bombay Sandwich,bread tomato onion cucumber chutney butter,Indian,10
Preserved Egg Congee,rice preserved-egg ginger scallion oil,Chinese,20
Birria de Chivo,goat chili onion tomato spice,Mexican,90
Khao Pad Sap Parod,rice pineapple shrimp egg cashew curry,Thai,20
Pasta e Patate,pasta potato onion rosemary parmesan,Italian,35
Medu Vada,lentil onion ginger chili oil,Indian,25
Braised Tofu,tofu soy sugar garlic scallion mushroom,Chinese,25
Carnitas,pork orange lime cumin garlic bay,Mexican,90
Laab Ped,duck lime chili onion mint rice,Thai,25
Pasta ai Gamberi,pasta shrimp garlic tomato parsley wine,Italian,25
Sambar Rice,rice lentil tomato drum-stick mustard,Indian,35
Smoked Plum Duck,duck plum soy ginger sugar,Chinese,60
Pollo a la Mexicana,chicken tomato onion pepper jalapeno,Mexican,30
Gaeng Phet Moo,pork coconut chili bamboo kaffir,Thai,30
Tortellini in Brodo,pasta beef broth parmesan,Italian,30
Malvani Chicken,chicken coconut onion tomato spice,Indian,45
Yellow Croaker Soup,fish tofu scallion ginger rice-wine,Chinese,25
Mole Rojo,pork tomato chili chocolate onion,Mexican,90
Pla Rad Prik,fish chili garlic oyster tamarind,Thai,25
Stracciatella,egg parmesan broth spinach nutmeg,Italian,20
Chicken Sukka,chicken coconut onion tomato spice,Indian,45
Braised Lion Head,pork cabbage egg soy ginger scallion,Chinese,45
Chiles Chipotles en Adobo,chipotle tomato onion vinegar garlic oregano,Mexican,20
Nam Ngiao,pork tomato noodle pork-blood shallot,Thai,40
Pasta con Broccoli,pasta broccoli garlic anchovy olive-oil,Italian,25
Bhindi Do Pyaza,okra onion tomato cumin coriander,Indian,25
Lotus Pork Rib Soup,pork-rib lotus soy ginger scallion,Chinese,50
Pozole Blanco,pork hominy onion oregano lime garlic,Mexican,90
Yam Pak Gard,cabbage pork shrimp lime chili fish-sauce,Thai,15
Tortelloni di Ricotta,pasta ricotta spinach egg butter sage,Italian,35
Bhapa Doi,yogurt cream sugar cardamom saffron,Indian,20
Bitter Melon Soup,bitter-melon pork ginger scallion salt,Chinese,30
Mariscos en Salsa,seafood tomato onion chili garlic,Mexican,35
Khanom Buang Yuan,crepe shrimp egg coconut scallion,Thai,25
Sfincione,dough tomato anchovy onion oregano caciocavallo,Italian,45
Mutton Pepper Fry,lamb pepper onion garlic ginger coconut,Indian,45
Red Braised Pork,pork soy sugar scallion ginger star-anise,Chinese,60
Chilpachole de Jaiba,crab tomato chipotle onion garlic,Mexican,40
Gaeng Kari Goong,shrimp coconut potato curry onion,Thai,30
